description,title,id,created_time,views
It's #Nationalstorytellingweek so join us to celebrate at Toddler Rhyme Onl,,1010888462768583,2021-01-30T15:01:33+0000,27
Today we launch our first LEGO club challenge! We'll be setting a new chall,,429826204930004,2021-01-30T08:55:45+0000,496
"Designed for learning and fun, our Toddler Rhyme Online sessions are live, ",,3542980022422984,2021-01-28T19:01:41+0000,22
Get set for our first #legoclub challenge this Saturday! #discoveryourlibra,,918481065567934,2021-01-28T13:59:25+0000,92
"In this rural idyll, where two rivers meet, crime is always there waiting t",,3349655701807753,2021-01-27T16:57:33+0000,15
Upgrade your magazines to digital and get the latest eMagazines from #RBdig,,507183676932821,2021-01-27T14:57:31+0000,30
Don't forget.... Stories and Rhymes LIVE Online today at 2pm. This session ,,889867461825039,2021-01-27T09:01:03+0000,27
Join us for Stories and Rhymes Online tomorrow at 2pm and support your chil,,252959552895449,2021-01-26T13:45:13+0000,30
"In this rural idyll, where two rivers meet, crime is always there waiting t",,226969839056151,2021-01-25T18:56:15+0000,17
Coming this Saturday! #legoclub #STEM #STEMclub #barnetlibraries #libraries,,257855095696214,2021-01-25T16:35:05+0000,332
Our LIVE Stories and Rhymes Online session on Weds afternoons is great for ,,170788968175556,2021-01-22T12:15:11+0000,35
We've just added these new eAudiobook titles (and more) to our #BorrowBox -,,763420251196624,2021-01-21T18:35:06+0000,16
"LIVE event for toddlers  - Mondays 10.15
Toddler Rhyme Online is designed f",,321591869179743,2021-01-21T14:30:33+0000,45
Baby Nurture Group for new parents starts Tues 26 Jan. Meet our early years,,404860090614054,2021-01-21T10:25:05+0000,429
Exercise your mind and body with #BarnetLibraries. A socially distanced wal,,434631001013691,2021-01-20T09:01:02+0000,23
Have you had a baby in the last four months? Join our New Parents Baby Nurt,,971376106727519,2021-01-19T14:40:06+0000,74
Get the latest magazines for free with our #RBdigital app (or read on your ,,418134259426635,2021-01-15T21:20:06+0000,23
Here is an unbelievable journey to the truth of life as a GP; through exist,,1629474620587582,2021-01-14T19:25:04+0000,19
Your child can take part in a wide variety of events & activities online. G,,741536746796815,2021-01-14T14:10:18+0000,28
Get the latest magazines for free with our #RBdigital app (or read on your ,,2200293323437395,2021-01-13T18:20:09+0000,15
"In this rural idyll where two rivers meet, crime is always there waiting to",,478934686606537,2021-01-12T16:25:22+0000,17
Welcome to a Scandinavian writer’s extravaganza! On 10/02/2021 from 7-8pm: ,,154144902940812,2021-01-12T12:15:10+0000,243
Here is an unbelievable journey to the truth of life as a GP; through exist,,453630085999353,2021-01-11T21:25:16+0000,23
Get the latest magazines for free with our #RBdigital app (or read on your ,,123930206219618,2021-01-11T14:20:06+0000,14
"In this rural idyll where two rivers meet, crime is always there waiting to",,415084189936135,2021-01-10T13:25:17+0000,20
"In this rural idyll where two rivers meet, crime is always there waiting to",,1403417180004228,2021-01-09T18:25:19+0000,20
"Support your child's learning with rhymes songs and a story!
Join us for FR",,452547899089485,2021-01-09T07:30:10+0000,93
Here is an unbelievable journey to the truth of life as a GP; through exist,,1041563876339972,2021-01-08T21:25:07+0000,23
"Whether you are studying, homeschooling, researching family history, learni",,3813087355379363,2021-01-08T14:15:12+0000,57
"Do you need something for your active Toddler to engage with at home? 
Join",,899306287478208,2021-01-07T13:30:25+0000,80
Welcome to a Scandinavian writer’s extravaganza! On 10/02/2021 from 7-8pm: ,,1032814253888414,2021-01-07T13:15:11+0000,17
"Book for our live online session with this link http://ow.ly/eEvV50CXC3P
Th",,435024914318070,2021-01-06T09:01:03+0000,20
On 10/02/2021 from 7-8pm: An evening with Scandinavian authors discussing t,,324222558759387,2021-01-05T13:15:12+0000,277
Live Stories & Rhymes on Wednesday afternoons. Ideal for under fives home f,,2712187175777558,2021-01-04T16:01:45+0000,24
"Fiona Brennan’s ultimate manual for the mind, utilising mindfulness, habit ",,3641828052572340,2021-01-04T12:25:06+0000,27
Need something to do with your baby? Our new Baby Bounce Online session is ,,182330966952622,2021-01-04T08:00:55+0000,55
Have you discovered your library yet? Here's a taste of our services for ch,,176028034221935,2021-01-02T07:55:27+0000,32
Nursery Rhymes are often the first stories children hear. How many can you ,,1309956752696345,2021-01-02T07:30:08+0000,32
"An idea for a family New Year at home!
Why not watch our Silly Photo Booth ",,172259657960536,2020-12-31T10:32:06+0000,1304
Need some family entertainment this festive time? Why not revisit the Barne,,2493699957603180,2020-12-30T17:02:08+0000,40
Our new live online Stories & Rhymes session for under fives starts next we,,448141303231515,2020-12-30T07:30:13+0000,35
"Today's recommendation is a fabulous, uplifting and life-affirming read for",,864990174252218,2020-12-29T12:25:10+0000,45
Our online programme of early years activities is being expanded in January,,404624247420198,2020-12-28T08:00:53+0000,50
"And finally for today, all the staff at #BarnetLibraries would like to wish",,710022909653418,2020-12-24T14:02:17+0000,56
We'll be back on Tuesday 29 December but don't forget that you can access o,,420325365980535,2020-12-24T13:01:51+0000,59
Today's recommendation is the sequel to a children's classic  -  'Dogger's ,,385714139357636,2020-12-24T12:25:44+0000,37
Upcycle your unloved Christmas baubles with our craft event.,,411030290038575,2020-12-24T10:50:08+0000,93
What have those naughty library elves been up to now? #chippingbarnetlibrar,,412122070129121,2020-12-23T08:30:20+0000,33
A very Happy Christmas!,,1838594592959713,2020-12-22T17:25:11+0000,369
The naughty library elves at #ChippingBarnetLibrary are kidnapping the fair,,415769119624393,2020-12-22T15:30:36+0000,40
Endlessly scrolling through movies on your streaming subscription and still,,391065332122335,2020-12-21T13:30:31+0000,31
Today's recommendation is ‘The Biscuit’ by Lizzie Collingham. An interestin,,228394472017661,2020-12-21T12:25:28+0000,44
Have you booked yet? Our Family Festive Fun event is tomorrow  Mon 21 Dec a,,408192040625711,2020-12-20T07:30:12+0000,19
The festive season wouldn't be the same without the Christmas edition of th,,136884391383711,2020-12-19T18:58:36+0000,36
Today's recommendation is ‘M19’ by Helen Fry. An informative and engaging i,,4821633867909828,2020-12-19T12:25:43+0000,562
The festive season wouldn't be the same without the Christmas edition of th,,1576001025931070,2020-12-18T14:01:50+0000,39
The magicial story of a brave little mouse who sets out on a Christmas adve,,456478285743874,2020-12-18T13:30:39+0000,10
Today's recommendation is a children's fiction title - 'Jake Atlas and the ,,206045337721372,2020-12-18T12:25:06+0000,38
"Join us for a live Family Festive Fun event on Mon 21 Dec at  11am.
Songs, ",,841311163322847,2020-12-18T11:30:23+0000,34
Today's recommendation is a children's non-fiction book called Little leade,,425541575156081,2020-12-17T12:25:07+0000,80
The festive season wouldn't be the same without the Christmas edition of th,,3406283779597307,2020-12-16T18:56:52+0000,43
"Today's #BarnetLibrariesRecommend is something for your little ones, review",,862175154543171,2020-12-16T12:25:10+0000,313
Our staff have been like busy bookworm elves making reviews of their best r,,319575819104246,2020-12-15T12:25:28+0000,52
"'We, as GPs, are just one cog in the NHS. Just one of many, many cogs, all ",The-Secret-GP-eAudio-Cover.mp4,429607004719683,2020-12-14T18:10:02+0000,24
"Today Barnet libraries recommend ‘Hamnet’ by Maggie O’Farrell.
A fictionali",,732046497736235,2020-12-14T12:25:09+0000,46
